"","paperName","researcher","journal","citations","year"
"78","Anomalies: interindustry wage differentials","RH Thaler","Journal of Economic Perspectives 3 (2), 181-193, 1989","243","1989"
"79","Anomalies: Closed-end mutual funds","C Lee, A Shleifer, RH Thaler","Journal of economic Perspectives 4 (4), 153-164, 1990","240","1990"
"80","Should governments invest more in nudging?","S Benartzi, J Beshears, KL Milkman, CR Sunstein, RH Thaler, M Shankar, ...","Psychological science 28 (8), 1041-1055, 2017","228","2017"
"81","Nudge: Wie man kluge Entscheidungen anstößt","RH Thaler, CR Sunstein","Ullstein eBooks, 2009","213","2009"
"82","Libertarian paternalism","CR Sunstein, R Thaler","American Economic Review, 2003","212","2003"
"83","Behavioral economics","RH Thaler","Journal of Political Economy 125 (6), 1799-1805, 2017","206","2017"
"84","Economic analysis and the psychology of utility: Applications to compensation policy","D Kahneman, R Thaler","The American Economic Review 81 (2), 341-346, 1991","199","1991"
"85","The endowment effect and repeated market trials: Is the Vickrey auction demand revealing?","JL Knetsch, FF Tang, RH Thaler","Experimental economics 4 (3), 257-269, 2001","189","2001"
"86","Yes, discounts on closed-end funds are a sentiment index","N Chopra, CMC Lee, A Shleifer, RH Thaler","Journal of Finance, 801-808, 1993","189","1993"
"87","Behavioral economics and the retirement savings crisis","S Benartzi, RH Thaler","Science 339 (6124), 1152-1153, 2013","186","2013"
"88","Caveat compounder: A warning about using the daily CRSP equal-weighted index to compute long-run excess returns","L Canina, R Michaely, R Thaler, K Womack","The Journal of Finance 53 (1), 403-416, 1998","183","1998"
"89","Invest now, drink later, spend never: On the mental accounting of delayed consumption","E Shafir, RH Thaler","Journal of economic psychology 27 (5), 694-712, 2006","176","2006"
"90","Handbook of the Economics of Finance; Volume 1A+ Volume 1B","M Harris, GM Constantinides, RM Stulz","Elsevier, 2003","164","2003"
"91","Mental accounting, saving, and self-control","HM Shefrin, RH Thaler","Advances in Behavioral Economics, 395, 1992","164","1992"
"92","Transaction utility theory","R Thaler","ACR North American Advances, 1983","133","1983"
"93","The psychology and economics conference handbook: Comments on Simon, on Einhorn and Hogarth, and on Tversky and Kahneman","RH Thaler","The Journal of Business 59 (4), S279-S284, 1986","122","1986"
"94","The law and economics of company stock in 401 (k) plans","S Benartzi, RH Thaler, SP Utkus, CR Sunstein","The Journal of Law and Economics 50 (1), 45-79, 2007","118","2007"
"95","The nominal share price puzzle","WC Weld, R Michaely, RH Thaler, S Benartzi","Journal of Economic Perspectives 23 (2), 121-42, 2009","116","2009"
"96","Smarter information, smarter consumers","RH Thaler, W Tucker","Harvard Business Review 91 (1), 44-54, 2013","105","2013"
"97","Split or steal? Cooperative behavior when the stakes are large","MJ Van den Assem, D Van Dolder, RH Thaler","Management Science 58 (1), 2-20, 2012","101","2012"
"98","A survey of behavioral finance","R Thaler, N Barberis","National Bureau of Economic Research, 2002","94","2002"
"99","Nudge: improving decisions about health, wealth, and happiness. 2008","RH Thaler, CR Sunstein","Londen: Penguin Books, 2009","93","2009"
"100","Anomalies: The Endowment Effect","D Kahneman, JL Knetsch, RH Thaler","Loss Aversion, and Status Quo Bias 5 (1), 193-206, 1991","91","1991"
"101","The loser's curse: Decision making and market efficiency in the National Football League draft","C Massey, RH Thaler","Management Science 59 (7), 1479-1495, 2013","89","2013"
"102","Irving Fisher: modern behavioral economist","RH Thaler","The American economic review 87 (2), 439-441, 1997","86","1997"
"103","Illusions and mirages in public policy","RH Thaler","Environmental Impact Assessment, Technology Assessment, and Risk Analysis …, 1985","84","1985"
"104","Theories and tropes: a reply to Posner and Kelman","C Jolls, CR Sunstein, R Thaler","Stanford Law Review, 1593-1608, 1998","78","1998"
"105","Doing economics without homo economicus","RH Thaler","Foundations of research in economics: How do economists do economics, 227-237, 1996","77","1996"
"106","An econometric analysis of property crime: interaction between police and criminals","R Thaler","Journal of Public Economics 8 (1), 37-51, 1977","77","1977"
"107","Nudge: o empurrão para a escolha certa","R THALER, C SUNSTEIN","São Paulo: Campus, 2009","76","2009"
"108","Nudge, choice architecture, and libertarian paternalism","P Schlag","Mich. L. Rev. 108, 913, 2009","75","2009"
"109","Does the stock market overreact?","DBWFRH Thaler","","75","1985"
"110","Intertemporal choice","R Thaler, G Loewenstein","Journal of Economic Perspectives 3, 181-193, 1992","74","1992"
"111","A behavioral approach to law and economics","CR Sunstein, C Jolls, RH Thaler","Stanford Law Review 50, 1471, 1998","72","1998"
"112","Nudge: la méthode douce pour inspirer la bonne décision","RH Thaler, CR Sunstein","Vuibert, 2017","71","2017"
"113","The value of life saving","R Thaler, S Rosen","Household Production and Consumption, NBER Press, New York, 1976","71","1976"
"114","A survey of behavioral finance, Handbook of the Economics of Finance, Edited by GM Constantinidis, M. Harris and R. Stulz","N Barberis, R Thaler","Elsevier, 2003","68","2003"
"115","Nudge. La spinta gentile: La nuova strategia per migliorare le nostre decisioni su denaro, salute, felicità","R Thaler, CR Sunstein","Feltrinelli Editore, 2014","66","2014"
"116","Helping consumers know themselves","E Kamenica, S Mullainathan, R Thaler","American Economic Review 101 (3), 417-22, 2011","66","2011"
"117","Behavioral economics (No. w7948)","S Mullainathan, RH Thaler","National Bureau of Economic Research. doi 10, w7948, 2000","66","2000"
"118","Choice architecture and retirement saving plans","S Benartzi, E Peleg, RH Thaler","The behavioral foundations of public policy, 245-263, 2013","60","2013"
"119","Cognitive economics","M Egidi, S Rizzello","Edward Elgar Publishing, 2004","60","2004"
"120","A behavioral approach to law and economics","J Christine, CR Sunstein, R Thaler","Stanford Law Review 50 (5), 1471-1550, 1998","60","1998"
"121","The loser’s curse: Overconfidence vs. market efficiency in the National Football League draft","C Massey, RH Thaler","University of Chicago, mimeo, 2006","56","2006"
"122","Un pequeño empujón","R Thaler, C Sunstein","México DF: Taurus editorial, 2009","54","2009"
"123","College and university endownment funds: Why not 100% equities?","RH Thaler, JP Williamson","Journal of Portfolio Management 21 (1), 27, 1994","53","1994"
"124","Naive diversification strategies in defined contribution saving plans","RH Thaler, S Benartzi","American Economic Review 91 (1), 79-98, 2001","51","2001"
"125","From cashews to nudges: the evolution of behavioral economics","RH Thaler","American Economic Review 108 (6), 1265-87, 2018","49","2018"
"126","IMPULSE","E Thaler, G Kronenbitter, S Waldow","IMPULSE 6, 16, 2017","44","2017"
"127","sunstein CR (2008)","RH Thaler","Nudge: improving decisions about health, wealth, and happiness, 2008","44","2008"
"128","In honor of Matthew Rabin: winner of the John Bates Clark medal","C Camerer, RH Thaler","Journal of economic perspectives 17 (3), 159-176, 2003","44","2003"
"129","Opting in vs. opting out","RH Thaler","The New York Times 26, 2009","43","2009"
"130","Impuls: jak podejmowac wlasciwe decyzje dotyczace zdrowia, dobrobytu i szczescia","RH Thaler, CR Sunstein, J Grzegorczyk","Zysk i S-ka Wydawnictwo, 2012","42","2012"
"131","Efficiency and the disposition effect in NFL prediction markets","SM Hartzmark, DH Solomon","The Quarterly Journal of Finance 2 (03), 1250013, 2012","40","2012"
"132","Using mental accounting in a theory of consumer behavior","RH Thaler","Graduate School of Business and Public Administration, Cornell University, 1983","40","1983"
"133","Summing up","N Chopra, CMC Lee, A Shleifer, RH Thaler","The Journal of Finance 48 (2), 811-812, 1993","39","1993"
"134","Company stock, market rationality, and legal reform","S Benartzi, RH Thaler, SP Utkus, CR Sunstein","U Chicago Law & Economics, Olin Working Paper, 2004","38","2004"
"135","An economic theory of self-control","HM Shefrin, RH Thaler","National Bureau of Economic Research, 1977","38","1977"
"136","Sticky wages and implicit contracts: A transactional approach","D Mayers, R Thaler","Economic Inquiry 17 (4), 559-574, 1979","35","1979"
"137","The power of nudges, for good and bad","RH Thaler","The New York Times 31, 2015, 2015","32","2015"
"138","Commentary—Mental Accounting and Consumer Choice: Anatomy of a Failure","RH Thaler","Marketing Science 27 (1), 12-14, 2008","31","2008"
"139","The nominal price puzzle","S Benartzi, R Michaely, RH Thaler, WC Weld","Unpublished working paper, University of California, Los Angeles, 2007","31","2007"
"140","The endowment effect, loss aversion, and status quo bias","J Knetsch, R Thaler","Journal of Economic Perspectives 5 (1), 193-206, 1991","31","1991"
"141","The behavioral economics of retirement savings behavior","RH Thaler, S Benartzi","","30","2007"
"142","Overconfidence vs. market efficiency in the National Football League","C Massey, R Thaler","National Bureau of Economic Research, 2005","29","2005"
"143","The endowment effect: Evidence of losses valued more than gains","D Kahneman, JL Knetsch, RH Thaler","Handbook of experimental economics results 1, 939-948, 2008","28","2008"
"144","Do dividend changes signal the future or the past","S Benartzi, R Michaely, R Thaler","Journal of Finance 52 (3), 1007-1034, 1997","26","1997"
"145","Rules and discretion in a two-self model of intertemporal choice","HM Shefrin, RH Thaler","Graduate School of Business and Public Administration, Cornell University, 1980","26","1980"
"146","Nudge, not sludge","RH Thaler","Science 361 (6401), 431-431, 2018","25","2018"
"147","Privatizing marriage","CR Sunstein, RH Thaler","The Monist 91 (3/4), 377-387, 2008","25","2008"
"148","Market efficiency and rationality: The peculiar case of baseball","RH Thaler, CR Sunstein","Michigan Law Review 102 (6), 1390-1403, 2004","25","2004"
"149","Un monde de déchirements. Théorie critique, psychanalyse, sociologie","A Honneth","Lectures, Publications reçues, 2013","24","2013"
"150","Improving public health prevention with a nudge","O Oullier, R Cialdini, RH Thaler, S Mullainathan","Economic Perspectives 6 (2), 117-36, 2010","24","2010"
"151","Preference reversals","R Thaler, A Tversky","Journal of Economic Perspectives 4 (2), 201-211, 1990","23","1990"
"152","Watching behavior before writing the rules","RH Thaler","The New York Times 7, 2012","22","2012"
"153","Behavioral economics, International encyclopedia of social and behavioral sciences","S Mullainathan, R Thaler","Pergamon Press, 2001","22","2001"
"154","Intertemporal choice","G Loewenstein, RH Thaler","Research on judgment and decision making: Currents, connections, and …, 1997","22","1997"
"155","Misbehaving: how economics became behavioural","RH Thaler","Allen Lane, 2015","20","2015"
"156","Public policy toward life saving: Should consumer preferences rule?","R Thaler, W Gould","Journal of Policy Analysis and Management 1 (2), 223-242, 1982","20","1982"
"157","Financial literacy, beyond the classroom","RH Thaler","The New York Times, 2013","18","2013"
"158","VDeal or No Deal","T Post, M Van Den Assem, G Baltussen, R Thaler","Decision Making Under Risk in a Large'Payoff Game Show, V mimeo Erasmus …, 2006","18","2006"
"159","Human frailty caused this crisis","R Thaler, C Sunstein","Financial Times 11 (11), 2008, 2008","17","2008"
"160","Rate Ceiling Implications of the Cost Structure of Consumer Finance Companies","GJ Benston","The Journal of Finance 32 (4), 1169-1194, 1977","17","1977"
"161","When nudges are forever: Inertia in the swedish premium pension plan","H Cronqvist, RH Thaler, F Yu","AEA Papers and Proceedings 108, 153-58, 2018","16","2018"
"162","Paternalismo libertario:¿ Por qué un empujoncito?","CR Sunstein","Herder Editorial, 2017","16","2017"
"163","Paying a price for the thrill of the hunt","RH Thaler","New York Times 1, 2009","16","2009"
"164","Who's on First Moneyball: The Art of Winning an Unfair Game by Michael Lewis","RH Thaler, CR Sunstein","New Republic, 27-30, 2003","16","2003"
"165","Show us the data.(It’s ours, after all)","RH Thaler","The New York Times 23, 2011, 2011","15","2011"
"166","Nudge: Naar betere beslissingen over gezondheid, geluk en welvaart","R Thaler, C Sunstein","Business Contact, 2018","14","2018"
"167","Standing united or falling divided? high stakes bargaining in a TV game show","D van Dolder, MJ van den Assem, CF Camerer, RH Thaler","American Economic Review 105 (5), 402-07, 2015","14","2015"
"168","Misbehaving: Was uns die Verhaltensökonomik über unsere Entscheidungen verrät","R Thaler","Siedler Verlag, 2018","13","2018"
"169","Un pequeño empujón. El impulso que necesitas para tomar mejores decisiones sobre salud, dinero y felicidad","C Sunstein, R Thaler","México: Taurus, 2017","13","2017"
"170","The relevance of quasi rationality in competitive markets: reply","T Russell, R Thaler","American Economic Review 77 (3), 499-501, 1987","13","1987"
"171","THE VALUE OF SAVING A LIFE: A MARKET ESTIMATE.","RH Thaler","","13","1975"
"172","Fixing the Paulson Plan","D Diamond, S Kaplan, A Kashyap, R Rajan, R Thaler","The Wall Street Journal, 26-28, 2008","12","2008"
"173","Response [anomalies: risk aversion]","M Rabin, RH Thaler","Journal of Economic Perspectives 16 (2), 229-230, 2002","12","2002"
"174","Mortgages made simpler","R Thaler","New York Times, 2009","11","2009"
"175","Daniel Kahneman.","D Kahneman","American Psychological Association, 2007","11","2007"
"176","Response from Matthew Rabin and Richard H. Thaler","M Rabin, RH Thaler","The Journal of Economic Perspectives 16 (2), 229-230, 2002","11","2002"
"177","Naïve diversification strategies in defined contribution","S Benartzi, RH Thaler","American Economic Review 91, 79-98, 2001","11","2001"
"178","Maximization and self-control","RH Thaler","Behavioral and Brain Sciences 4 (3), 403-404, 1981","11","1981"
"179","Misbehaving: The making of behavioral economics","RH Thaler","INTERNATIONAL JOURNAL OF APPLIED BEHAVIORAL ECONOMICS 6 (1), 77-81, 2017","10","2017"
"180","Del homo economicus al Homo Sapiens","R Thaler","THEMIS-Revista de Derecho, 299-306, 2010","10","2010"
"181","Easy does it-How to make lazy people do the right thing","RH Thaler, CR Sunstein","New Republic 238 (6), 20-22, 2008","9","2008"
"182","a Cass R. SUNSTEIN","RH Thaler","Nudge: improving decisions about health, wealth, and happiness, 0","9",""
"183","Economía del comportamiento: pasado, presente y futuro","RH Thaler","Revista de Economía Institucional 20 (38), 9-43, 2018","8","2018"
"184","Public policies, made to fit people","RH Thaler","New York Times, 2013","8","2013"
"185","Disclosure is the best kind of credit regulation","RH Thaler, CR Sunstein","Wall Street Journal 13, A17, 2008","8","2008"
"186","Judgement and decision making under uncertainty: what economists can learn from psychology","R Thaler","","8","1980"
"187","Nudge (Štouch): jak postrcit lidi k lepšímu rozhodování o zdraví, majetku a štestí","RH Thaler, CR Sunstein","Albatros Media as, 2018","7","2018"
"188","Are Markets Efficient","EF Fama, RH Thaler","Chicago Booth Review 30, 2016","7","2016"
"189","Law and economics: a reader","A Marciano","Routledge, 2013","7","2013"
"190","Applause for the numbers machine","RH Thaler","The New York Times 17, 2012","7","2012"
"191","It’s time to rethink the charity deduction","RH Thaler","The New York Times, 2010","7","2010"
"192","The Loser's Curse: Overconfidence vs. Market Efficiency in the National Football League Draft-Electronic Appendix","C Massey, RH Thaler","Market Efficiency in the National Football League Draft-Electronic Appendix …, 2010","7","2010"
"193","Underwater, But Will They Leave the Pool?","RH Thaler","New York Times, 2010","7","2010"
"194","The nominal price puzzle","WC Weld, S Benartzi, R Michaely, RH Thaler","AFA 2007 Chicago Meetings Paper, 2007","7","2007"
"195","Using behavioral economics to improve diversification in 401 (k) plans: Solving the company stock problem","S Benartzi, RH Thaler","University of California Los Angeles Working Paper, 2003","7","2003"
"196","Do changes in dividends signal the future or the past","SBR Michaely, R Thaler","JOURNAL OF FINANCE-NEW YORK- 52, 1007-1034, 1997","7","1997"
"197","Public Opinion and the Supreme Court.","JL Gibson","Public Opinion Quarterly 54 (2), 289-289, 1990","7","1990"
"198","Breadwinning Wives and Nervous Husbands","RH Thaler","New York Times, 1, 2013","6","2013"
"199","The annuity puzzle","RH Thaler","The New York Times 4, 2011","6","2011"
"200","Adaptation or paradigm shift?","A Etzioni","Contemporary Sociology 38 (1), 5-8, 2009","6","2009"
"201","Nudge-O Empurrao Para a Escolha Certa","C SUNSTEIN, R THALER, M LINO","Elsevier Brasil, 2008","6","2008"
"202","Digital contracts and price manipulation","JM Vanden","The Journal of Business 78 (5), 1891-1916, 2005","6","2005"
"203","A Survey of Behavioral Finance, chapter 1","N Barberis, R Thaler","Advances in Behavioral Economics 2, 1-75, 2005","6","2005"
"204","A Behavioral Approach to Law and Economics, 50 Stan","C Tolls","L. Rev 1471, 1998","6","1998"
"205","Handbooks in Operations Research and Management Science, Vol. 9, Chapter 13: Financial Decision-Making in Markets and Firms: A Behavioral Perspective","WFM De Bondt, RH Thaler","Amsterdam: North Holland, 1995","6","1995"
"206","Life cycle vs. self-control theories of saving: A look at the evidence","HM Shefrin, RH Thaler","Graduate School of Management, Cornell University, 1983","6","1983"
"207","Integrating economics with psychology","RH Thaler","URL: https://www. nobelprize. org/uploads/2018/06/advanced …, 2017","5","2017"
"208","The buried treasure in your TV dial","RH Thaler","New York Times, 2010","5","2010"
"209","Myopic loss aversion and the equity premium puzzle","S BENARTzI, RH Thaler","Advances in Behavioral Finance 2, 202-223, 2005","5","2005"
"210","Defending expected utility theory-Response","M Rabin, RH Thaler","Journal of Economic Perspectives 16 (2), 229-230, 2002","5","2002"
"211","Dose the Stock Market Overreact","FM De Bondt Werner, RH Thaler","Journal of Finance, 40,793-803, 1998","5","1998"
"212","Myopic loss aversion and the equity premium puzzle","S Benartzi, RH Thaler","Cornell University, Johnson Graduate School of Management, 1994","5","1994"
"213","The VVinner's Curse","RH Thaler","The Journal of Economic Perspectives 2 (1), 191-202, 1988","5","1988"
"214","Public Policy Toward Life Saving: Maximize Lives Saved vs. Consumer Sovereignty","W Gould, RH Thaler","National Bureau of Economic Research, 1980","5","1980"
"215","Q&A with Richard Thaler","R Thaler","The Behavioral Economics Guide 2016, 23-5, 2016","4","2016"
"216","Prevalence of protein energy malnutrition among Aganwadi children’s of Hubli, Karnataka","DD Bant","J Nut Res 1 (1), 11-3, 2013","4","2013"
"217","Gauging the odds (and the costs) in health screening","RH Thaler","The New York Times. December 19, 2009","4","2009"
"218","El Paternalismo Libertario no es un Oximorón","CR Sunstein, RH Thaler","Derecho & Sociedad, 159-182, 2006","4","2006"
"219","A SURVEY OF BEHAVIORAL FINANCE Working Paper 9222 http://www. nber. org/papers/w9222","N Barberis, R Thaler","NBER working paper series, 2002","4","2002"
"220","Related Disciplines","R Thaler","Journal of Economic Literature 21 (3), 1046-1048, 1983","4","1983"
"221","Sudden-death aversion: Avoiding superior options because they feel riskier.","J Walker, JL Risen, T Gilovich, R Thaler","Journal of personality and social psychology 115 (3), 363, 2018","3","2018"
"222","Much ado about nudging","R Thaler","Behavioral Public Policy Blog, available at https://bppblog. com/2017/06/02 …, 2017","3","2017"
"223","Recipes for Ruin, in the gulf or on wall street","RH Thaler","New York Timesonline, 2010","3","2010"
